CustomerID,LookalikeID,SimilarityScore
C0001,C0140,0.9969866363622283
C0001,C0091,0.9936718658313922
C0001,C0069,0.9913899242991373
C0002,C0134,0.9988521650331734
C0002,C0143,0.9984274933538315
C0002,C0159,0.9905511464737494
C0003,C0007,0.997757770013338
C0003,C0163,0.9976788263758671
C0003,C0005,0.9933126766681644
C0004,C0075,0.9943485474467922
C0004,C0146,0.9881674641314164
C0004,C0090,0.975745245521758
C0005,C0163,0.9968846706865021
C0005,C0007,0.9945108915092548
C0005,C0003,0.9933126766681644
C0006,C0185,0.9934705328385588
C0006,C0169,0.9919862948261884
C0006,C0081,0.9901269350818728
C0007,C0163,0.9996645778101643
C0007,C0003,0.997757770013338
C0007,C0005,0.9945108915092548
C0008,C0055,0.9879310928344934
C0008,C0170,0.9753494653203149
C0008,C0173,0.9740591362758141
C0009,C0190,0.9914554954247339
C0009,C0067,0.9756722891921081
C0009,C0049,0.9744252190122129
C0010,C0042,0.999998754291913
C0010,C0083,0.9999577361862966
C0010,C0029,0.9968735563481763
C0011,C0188,0.9934003568956024
C0011,C0074,0.9933425980581937
C0011,C0016,0.9887426894677896
C0012,C0152,0.9998512974543907
C0012,C0199,0.9919562719043774
C0012,C0148,0.9883635550413644
C0013,C0044,0.9914928233639216
C0013,C0046,0.986309191217048
C0013,C0056,0.9705651432859241
C0014,C0151,0.9999934534902701
C0014,C0128,0.9999798716144468
C0014,C0110,0.9999769475986672
C0015,C0071,0.9908964150811048
C0015,C0136,0.9846729402443635
C0015,C0052,0.9784439198375675
C0016,C0188,0.989849392996398
C0016,C0011,0.9887426894677896
C0016,C0021,0.9803064789322097
C0017,C0179,0.9911941970852807
C0017,C0177,0.9909012662678397
C0017,C0035,0.9882608055452957
C0018,C0051,0.9947840602521173
C0018,C0186,0.9888256711651857
C0018,C0023,0.98873593466792
C0019,C0070,0.9860198581561405
C0019,C0115,0.9797969421120558
C0019,C0191,0.969635172708254
C0020,C0130,0.9999981173261936
C0020,C0120,0.9999967395538566
C0020,C0069,0.9997990967291952
